model,accuracy,precision,recall,f1_score,roc_auc,positive_prediction_rate,number_of_features,removed_feature_group
full_optimised_model,0.5145833333333333,0.4763636363636364,0.5954545454545455,0.5292929292929293,0.5211013986013987,0.5729166666666666,15,full_optimised_model
without_momentum,0.5041666666666667,0.46785714285714286,0.5954545454545455,0.524,0.5127447552447553,0.5833333333333334,11,momentum
without_volume,0.5083333333333333,0.4701492537313433,0.5727272727272728,0.5163934426229508,0.5210314685314685,0.5583333333333333,14,volume
without_risk,0.5,0.4645390070921986,0.5954545454545455,0.5219123505976095,0.5029020979020979,0.5875,9,risk
without_qqq_relative,0.5104166666666666,0.47035573122529645,0.5409090909090909,0.5031712473572939,0.5237237762237763,0.5270833333333333,11,qqq_relative
