model,accuracy,precision,recall,f1_score,roc_auc,positive_prediction_rate,train_rows,test_rows
baseline_random_forest,0.5145833333333333,0.4797507788161994,0.7,0.5693160813308688,0.5106468531468532,0.66875,2040,480
optimised_random_forest,0.5145833333333333,0.4763636363636364,0.5954545454545455,0.5292929292929293,0.5211013986013987,0.5729166666666666,2040,480
