date,strategy,rank,ticker,weight,predicted_probability,future_stock_return,future_qqq_return,outperformed_qqq
2024-07-31,baseline_rf_top_k,1,AAPL,0.1,0.5857657788076809,0.032353605269078,0.0110387541930649,1
2024-07-31,baseline_rf_top_k,2,QCOM,0.1,0.5782134095881837,-0.0312242667899543,0.0110387541930649,0
2024-07-31,baseline_rf_top_k,3,TSLA,0.1,0.5538900807440696,-0.0773904690267696,0.0110387541930649,0
2024-07-31,baseline_rf_top_k,4,COST,0.1,0.5527249096528654,0.085620331358543,0.0110387541930649,1
2024-07-31,baseline_rf_top_k,5,AMAT,0.1,0.5497186527478629,-0.0686237039668253,0.0110387541930649,0
2024-07-31,baseline_rf_top_k,6,AMZN,0.1,0.5448500990993875,-0.045352422298136,0.0110387541930649,0
2024-07-31,baseline_rf_top_k,7,META,0.1,0.5408691192199041,0.0978876100904015,0.0110387541930649,1
2024-07-31,baseline_rf_top_k,8,GOOGL,0.1,0.5340048606028883,-0.0475689188191061,0.0110387541930649,0
2024-07-31,baseline_rf_top_k,9,GOOG,0.1,0.5281476668164622,-0.0464335721714519,0.0110387541930649,0
2024-07-31,baseline_rf_top_k,10,ADBE,0.1,0.5169202210219225,0.0412579492852254,0.0110387541930649,1
2024-07-31,optimised_rf_top_k,1,AAPL,0.1,0.6212440338229653,0.032353605269078,0.0110387541930649,1
2024-07-31,optimised_rf_top_k,2,QCOM,0.1,0.5743394267382239,-0.0312242667899543,0.0110387541930649,0
2024-07-31,optimised_rf_top_k,3,TSLA,0.1,0.5685625108185424,-0.0773904690267696,0.0110387541930649,0
2024-07-31,optimised_rf_top_k,4,META,0.1,0.551755391359104,0.0978876100904015,0.0110387541930649,1
2024-07-31,optimised_rf_top_k,5,COST,0.1,0.5343974848434403,0.085620331358543,0.0110387541930649,1
2024-07-31,optimised_rf_top_k,6,AMZN,0.1,0.5336209103876217,-0.045352422298136,0.0110387541930649,0
2024-07-31,optimised_rf_top_k,7,ADBE,0.1,0.5312986084491822,0.0412579492852254,0.0110387541930649,1
2024-07-31,optimised_rf_top_k,8,AMAT,0.1,0.5293092509850751,-0.0686237039668253,0.0110387541930649,0
2024-07-31,optimised_rf_top_k,9,GOOG,0.1,0.5245076152662499,-0.0464335721714519,0.0110387541930649,0
2024-07-31,optimised_rf_top_k,10,GOOGL,0.1,0.5197381827243237,-0.0475689188191061,0.0110387541930649,0
2024-08-31,baseline_rf_top_k,1,COST,0.1,0.6079527021870725,-0.0065667126070291,0.0262160295313964,0
2024-08-31,baseline_rf_top_k,2,AAPL,0.1,0.5990241578459968,0.0174671457188737,0.0262160295313964,0
2024-08-31,baseline_rf_top_k,3,QCOM,0.1,0.561607644758635,-0.0249354027347803,0.0262160295313964,0
2024-08-31,baseline_rf_top_k,4,AMGN,0.1,0.5533615369200092,-0.0348080606616325,0.0262160295313964,0
2024-08-31,baseline_rf_top_k,5,AVGO,0.1,0.5462509874052219,0.0629367290972977,0.0262160295313964,1
2024-08-31,baseline_rf_top_k,6,META,0.1,0.5451150538601107,0.0991273179879281,0.0262160295313964,1
2024-08-31,baseline_rf_top_k,7,GOOG,0.1,0.5273145078573582,0.0139305272805616,0.0262160295313964,0
2024-08-31,baseline_rf_top_k,8,CSCO,0.1,0.523093531565682,0.0530273719178453,0.0262160295313964,1
2024-08-31,baseline_rf_top_k,9,ADBE,0.1,0.521959379808977,-0.0985880233548925,0.0262160295313964,0
2024-08-31,baseline_rf_top_k,10,AMD,0.1,0.5215945340008036,0.1044696050586542,0.0262160295313964,1
2024-08-31,optimised_rf_top_k,1,COST,0.1,0.6270421424038561,-0.0065667126070291,0.0262160295313964,0
2024-08-31,optimised_rf_top_k,2,AAPL,0.1,0.6147425334774524,0.0174671457188737,0.0262160295313964,0
2024-08-31,optimised_rf_top_k,3,AVGO,0.1,0.5737301516646002,0.0629367290972977,0.0262160295313964,1
2024-08-31,optimised_rf_top_k,4,AMGN,0.1,0.5546174952433612,-0.0348080606616325,0.0262160295313964,0
2024-08-31,optimised_rf_top_k,5,QCOM,0.1,0.5514799568405121,-0.0249354027347803,0.0262160295313964,0
2024-08-31,optimised_rf_top_k,6,META,0.1,0.5402480950017112,0.0991273179879281,0.0262160295313964,1
2024-08-31,optimised_rf_top_k,7,INTU,0.1,0.5225316519442768,-0.0146923374199152,0.0262160295313964,0
2024-08-31,optimised_rf_top_k,8,TSLA,0.1,0.5171195499657407,0.2219420117556314,0.0262160295313964,1
2024-08-31,optimised_rf_top_k,9,NFLX,0.1,0.5159378755169136,0.0112925043526219,0.0262160295313964,0
2024-08-31,optimised_rf_top_k,10,ADBE,0.1,0.5076205402030809,-0.0985880233548925,0.0262160295313964,0
2024-09-30,baseline_rf_top_k,1,GOOGL,0.1,0.6033341430086984,0.0317151610345349,-0.0086463559104306,1
2024-09-30,baseline_rf_top_k,2,META,0.1,0.5898194835496271,-0.0084898937878576,-0.0086463559104306,1
2024-09-30,baseline_rf_top_k,3,GOOG,0.1,0.5762245717739904,0.0328967713356791,-0.0086463559104306,1
2024-09-30,baseline_rf_top_k,4,AMGN,0.1,0.5671784020883401,-0.0063621979331132,-0.0086463559104306,1
2024-09-30,baseline_rf_top_k,5,AAPL,0.1,0.5559416709120301,-0.0304291846966061,-0.0086463559104306,0
2024-09-30,baseline_rf_top_k,6,TXN,0.1,0.5508709752201113,-0.0100329261207495,-0.0086463559104306,0
2024-09-30,baseline_rf_top_k,7,NFLX,0.1,0.5492763582628319,0.0659268648650508,-0.0086463559104306,1
2024-09-30,baseline_rf_top_k,8,COST,0.1,0.5474448758784081,-0.0139195630400947,-0.0086463559104306,0
2024-09-30,baseline_rf_top_k,9,CSCO,0.1,0.5119974231887333,0.036989338483875,-0.0086463559104306,1
2024-09-30,baseline_rf_top_k,10,INTU,0.1,0.5056428201179454,-0.0155832292427423,-0.0086463559104306,0
2024-09-30,optimised_rf_top_k,1,GOOGL,0.1,0.613366486805075,0.0317151610345349,-0.0086463559104306,1
2024-09-30,optimised_rf_top_k,2,META,0.1,0.594690654595847,-0.0084898937878576,-0.0086463559104306,1
