total_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,average_monthly_return,positive_month_rate,average_monthly_turnover,strategy,transaction_cost_bps
0.5662677934038032,0.2515062098942231,0.20338411733734077,1.2366069346362243,2.561890163839447,-0.10587497297990645,2.3755019983991437,0.020461081267747896,0.5833333333333334,0.75,baseline_rf_top_k,0
0.6915890503587538,0.3006110296159854,0.20823747267261392,1.4435971862211323,2.678194092317883,-0.11318328753579354,2.655966584474046,0.0238268163876046,0.7083333333333334,0.8333333333333334,optimised_rf_top_k,0
0.5524841084644698,0.24598720236785332,0.20336617578291272,1.209577755105339,2.5084274847818375,-0.10644265525103236,2.3109833345261985,0.020086081267747895,0.5833333333333334,0.75,baseline_rf_top_k,5
0.6750734539525372,0.29424628798097663,0.2082775129306607,1.4127607144941108,2.627201751925259,-0.11412482698421267,2.578284635837221,0.023410149720937936,0.7083333333333334,0.8333333333333334,optimised_rf_top_k,5
0.5388163630574554,0.24049037201320322,0.203348809936652,1.1826495177823844,2.4550283847630148,-0.10701015752215826,2.247360228055039,0.019711081267747895,0.5833333333333334,0.75,baseline_rf_top_k,10
0.6587119460881039,0.28790991380923225,0.2083182801557318,1.3820674479167185,2.5762162822743417,-0.11506586643263172,2.5021313681915958,0.022993483054271263,0.7083333333333334,0.8333333333333334,optimised_rf_top_k,10
0.4984994958886515,0.22413213988059777,0.2033001680977243,1.1024690337337042,2.2952345312119333,-0.1087115843355363,2.0617134894181843,0.018586081267747898,0.5833333333333334,0.75,baseline_rf_top_k,25
0.6105383001974158,0.26906985631107627,0.2084449393297002,1.2908437939358404,2.308681912236446,-0.11795815088525985,2.2810620062432623,0.021743483054271262,0.6666666666666666,0.8333333333333334,optimised_rf_top_k,25
0.43353805913720045,0.1973044972508875,0.20323062534287026,0.9708403785995108,2.013122480556473,-0.11154369569116607,1.7688538651002705,0.0167110812677479,0.5416666666666666,0.75,baseline_rf_top_k,50
0.5332049477104703,0.2382265332767144,0.2086705360446468,1.1416395327883944,2.0268786947970665,-0.125280235874346,1.9015492077748932,0.01966014972093793,0.625,0.8333333333333334,optimised_rf_top_k,50
