date,strategy,gross_return,transaction_cost,net_return,turnover,number_of_holdings,average_predicted_probability
2024-07-31,baseline_rf_top_k,-0.00594738570689953,0.0009999999999999998,-0.00694738570689953,0.9999999999999999,10,0.5485104798301227
2024-07-31,optimised_rf_top_k,-0.00594738570689953,0.0009999999999999998,-0.00694738570689953,0.9999999999999999,10,0.548877341539473
2024-08-31,baseline_rf_top_k,0.018606049770282622,0.0007999999999999999,0.017806049770282623,0.7999999999999999,10,0.5507274036209868
2024-08-31,optimised_rf_top_k,0.023317517213410324,0.0007999999999999999,0.022517517213410325,0.7999999999999999,10,0.5525069992261504
2024-09-30,baseline_rf_top_k,0.008271114089797641,0.0007999999999999999,0.007471114089797641,0.7999999999999999,10,0.5557730724000716
2024-09-30,optimised_rf_top_k,0.00827111408979764,0.0007999999999999999,0.007471114089797639,0.7999999999999999,10,0.5509895440653912
2024-10-31,baseline_rf_top_k,0.061121461879839606,0.0007999999999999999,0.060321461879839604,0.7999999999999999,10,0.5262054734383169
2024-10-31,optimised_rf_top_k,0.05791089628544295,0.0007999999999999999,0.05711089628544295,0.7999999999999999,10,0.5199813399420325
2024-11-30,baseline_rf_top_k,0.03201340898396349,0.0006,0.031413408983963484,0.6,10,0.5555340711196084
2024-11-30,optimised_rf_top_k,0.07322293068961605,0.0012,0.07202293068961604,1.2,10,0.5523730650340494
2024-12-31,baseline_rf_top_k,0.016793919428375825,0.0006,0.016193919428375825,0.6,10,0.5649881851848344
2024-12-31,optimised_rf_top_k,0.019294206283752228,0.0009999999999999998,0.018294206283752227,0.9999999999999999,10,0.5516036077112271
2025-01-31,baseline_rf_top_k,-0.03897715418094562,0.0012,-0.04017715418094562,1.2,10,0.5654606699236294
2025-01-31,optimised_rf_top_k,-0.0459364858603158,0.0009999999999999998,-0.0469364858603158,0.9999999999999999,10,0.571318527033337
2025-02-28,baseline_rf_top_k,-0.05655608522440548,0.0004,-0.05695608522440548,0.4,10,0.5866411667579903
2025-02-28,optimised_rf_top_k,-0.07048461730151864,0.0009999999999999998,-0.07148461730151864,0.9999999999999999,10,0.5700119207435654
2025-03-31,baseline_rf_top_k,-0.0030117499282119597,0.0009999999999999998,-0.00401174992821196,0.9999999999999999,10,0.5947010115538572
2025-03-31,optimised_rf_top_k,0.002918189592132449,0.0012,0.001718189592132449,1.2,10,0.5779482317964397
