feature,importance
volume_growth_3m,0.0757201869058658
ret_1m,0.07454205447838924
ret_3m,0.07336835492132897
max_drawdown_3m,0.07043481754411955
relative_return_6m,0.06993997029806139
ret_6m,0.06610877164271915
relative_return_1m,0.06604072626626845
volatility_3m,0.06576199064413885
volatility_1m,0.06434832986965056
ret_12m,0.06377227502743193
relative_return_12m,0.06319313477226773
corr_qqq_3m,0.06311600493138832
tracking_error_3m,0.06250777389122525
relative_return_3m,0.060875021823966036
beta_3m,0.060270586983178914
